ts,elapsed_s,sql_state,bc_state,sql_query_ms,bc_api_ms,bc_http,web_http,restarts,note
2026-08-13T02:31:08+02:00,5850,running,running,317,47,200,200,1,
2026-08-13T02:31:54+02:00,5895,running,running,328,47,200,200,1,
2026-08-13T02:32:40+02:00,5941,running,running,329,48,200,200,1,
2026-08-13T02:33:25+02:00,5987,running,running,315,39,200,200,1,
2026-08-13T02:34:11+02:00,6032,running,running,320,45,200,200,1,
2026-08-13T02:34:57+02:00,6078,running,running,323,38,200,200,1,
2026-08-13T02:35:42+02:00,6124,running,running,316,45,200,200,1,
2026-08-13T02:36:28+02:00,6169,running,running,326,39,200,200,1,
2026-08-13T02:37:14+02:00,6215,running,running,317,43,200,200,1,
2026-08-13T02:38:00+02:00,6261,running,running,318,40,200,200,1,
2026-08-13T02:38:45+02:00,6307,running,running,317,46,200,200,1,
2026-08-13T02:39:31+02:00,6352,running,running,319,43,200,200,1,
2026-08-13T02:40:17+02:00,6398,running,running,312,44,200,200,1,
2026-08-13T02:41:02+02:00,6444,running,running,320,52,200,200,1,
2026-08-13T02:41:48+02:00,6489,running,running,320,42,200,200,1,
2026-08-13T02:42:34+02:00,6535,running,running,318,45,200,200,1,
2026-08-13T02:43:19+02:00,6581,running,running,323,46,200,200,1,
2026-08-13T02:44:05+02:00,6626,running,running,325,47,200,200,1,
2026-08-13T02:44:51+02:00,6672,running,running,324,46,200,200,1,
2026-08-13T02:45:37+02:00,6718,running,running,315,42,200,200,1,
2026-08-13T02:46:22+02:00,6764,running,running,325,40,200,200,1,
2026-08-13T02:47:08+02:00,6809,running,running,320,45,200,200,1,
2026-08-13T02:47:54+02:00,6855,running,running,313,40,200,200,1,
2026-08-13T02:48:39+02:00,6901,running,running,320,56,200,200,1,
2026-08-13T02:49:25+02:00,6946,running,running,325,38,200,200,1,
2026-08-13T02:50:11+02:00,6992,running,running,313,41,200,200,1,
2026-08-13T02:50:56+02:00,7038,running,running,318,43,200,200,1,
2026-08-13T02:51:42+02:00,7083,running,running,319,42,200,200,1,
